,f_preferred_name,Fe,Mg,Si,Unnamed: 4
3665,HIP 10321 ,0.02,-0.01,-0.02,
3666,HIP 10322 ,-0.27,0.04,-0.11,
3667,2MASS 19331027+4159513 ,-0.09,-0.11,-0.1,
3668,HIP 10324 ,-0.04,0.16,-0.03,
3669,HD 179732 ,0.03,-0.08,-0.02,
3670,HIP 10326 ,-0.08,0.05,-0.01,
3671,HIP 43103 ,-0.02,0.33,0.31,
3672,HIP 43106 ,-0.03,-0.03,0.04,
3673,HIP 10339 ,0.05,-0.1,-0.06,
3674,HIP 10340 ,-0.24,-0.19,-0.06,
3675,HIP 43109 ,0.03,0.0,0.02,
3676,HIP 75874 ,-0.29,-0.23,-0.25,
3679,HIP 10363 ,-0.14,0.05,-0.22,
3680,2MASS 19152330+4701224 ,0.14,0.02,0.04,
3683,HIP 43141 ,0.12,0.11,0.2,
3687,2MASS 19154176+4603274 ,-0.26,-0.22,-0.23,
3689,B-03 02764 ,-0.97,-0.81,-0.89,
3690,2MASS 18584209+4425039 ,-0.1,0.03,0.01,
3693,HD 118114b ,-0.12,0.0,-0.23,
3694,HIP 43177 ,0.32,0.29,0.25,
3695,HIP 10416 ,0.04,-0.02,-0.02,
3697,2MASS 06552354+5458156 ,-1.52,-1.21,-1.25,
3698,HIP 43190 ,0.16,0.08,0.16,
3699,2MASS 18483092+4418113 ,-0.16,-0.2,-0.11,
3700,HIP 75963 ,-0.77,-0.3,-0.51,
3701,BD+43 03152 ,-0.01,0.23,-0.08,
3702,HIP 108736 ,-0.29,-0.07,-0.15,
3705,HIP 75974 ,-0.2,-0.02,-0.1,
3706,HIP 10440 ,-0.02,0.02,0.05,
3707,HIP 43212 ,0.23,0.02,-0.09,
3708,HIP 10446 ,0.18,0.04,0.0,
3709,HIP 10449 ,-0.89,-0.52,-0.62,
3710,HIP 108767 ,-0.15,-0.1,-0.01,
3711,HIP 43232 ,-0.01,0.11,0.04,
3712,HIP 76006 ,0.05,0.17,0.1,
3713,HIP 108774 ,-0.14,-0.19,-0.16,
3714,HIP 76008 ,-0.18,-0.03,-0.08,
3715,HD 240429 ,0.0,0.0,-0.02,
3717,HIP 108783 ,-0.44,-0.12,-0.21,
3718,HIP 108784 ,0.0,0.04,0.09,
3719,HIP 10483 ,-0.08,-0.12,-0.15,
3720,2MASS 20020411+4422536 ,0.1,-0.04,0.1,
3721,HIP 76025 ,-0.03,0.26,0.23,
3722,HIP 10492 ,0.38,0.26,0.34,
3723,BD+37 00424 ,0.17,-0.06,-0.15,
3724,HIP 43267 ,0.31,0.33,0.34,
3725,HIP 10505 ,0.23,0.17,0.21,
3726,HIP 108809 ,-0.05,-0.09,-0.04,
3727,HIP 10510 ,0.07,0.0,0.01,
3728,HIP 108826 ,-0.57,-0.34,-0.44,
3729,HIP 43297 ,0.12,0.11,0.04,
3730,HIP 10530 ,-0.32,-0.26,-0.3,
3731,HIP 10531 ,0.39,0.32,0.29,
3733,HIP 10533 ,-0.32,-0.31,-0.28,
3734,HIP 43304 ,-0.12,-0.04,-0.12,
3735,HIP 10540 ,0.25,0.12,0.19,
3736,HIP 76079 ,-0.78,-0.36,-0.54,
3737,HIP 108849 ,0.27,0.19,-0.05,
3738,HIP 108859 ,0.05,0.12,0.02,
3740,HIP 76097 ,-0.16,0.03,-0.01,
3741,HIP 108868 ,0.08,0.33,0.22,
3742,2MASS 19323844+4852522 ,-0.14,-0.12,-0.2,
3743,HIP 108870 ,-0.08,-0.09,-0.13,
3744,HIP 76114 ,0.02,0.04,-0.03,
3746,HIP 43357 ,-0.06,-0.13,-0.27,
3747,HIP 43363 ,-0.03,-0.09,-0.1,
3748,HIP 108901 ,-0.05,0.16,0.02,
3749,HIP 10599 ,0.33,0.43,0.32,
3751,HD 110483 ,0.01,0.2,0.07,
3752,HIP 76147 ,0.17,0.14,0.17,
3756,HIP 43393 ,-0.53,-0.26,-0.35,
3757,HIP 10626 ,0.07,0.05,0.06,
3758,2MASS 19403794+4053558 ,0.08,-0.02,-0.02,
3759,HIP 10629 ,-0.71,-0.06,-0.42,
3760,HD 179498 ,0.22,0.05,0.06,
3761,HIP 43409 ,-0.08,0.06,0.18,
3762,HIP 10642 ,0.04,0.31,0.15,
3763,HIP 43410 ,0.19,0.12,0.12,
3764,HIP 10644 ,-0.45,-0.36,-0.42,
3765,HIP 108947 ,-0.13,-0.1,-0.1,
3766,HIP 108950 ,0.42,0.48,0.5,
3767,HIP 76185 ,-0.14,0.12,-0.17,
3768,HIP 10652 ,-0.62,-0.43,-0.42,
3769,HIP 108961 ,0.33,0.19,0.27,
3771,HIP 76200 ,0.02,0.06,0.04,
3774,HIP 10672 ,0.06,0.04,-0.03,
3775,HIP 10673 ,-0.16,-0.05,-0.03,
3776,HD 207 ,0.06,0.09,0.17,
3777,HIP 10679 ,0.09,0.01,0.02,
3779,HIP 76219 ,0.04,0.2,0.16,
3780,HIP 43454 ,0.16,0.15,0.17,
3781,2MASS 19304566+3750059 ,0.04,-0.1,0.02,
3782,HIP 76226 ,-0.6,-0.42,-0.57,
3783,HIP 76228 ,0.32,0.29,0.35,
3784,HIP 108996 ,0.1,0.05,0.0,
3785,HIP 10694 ,0.16,0.2,0.1,
3787,HIP 76233 ,0.08,0.17,0.04,
3788,HIP 109005 ,0.0,0.32,0.36,
3789,2MASS 19371607+4337456 ,0.16,0.16,0.19,
3790,HIP 109012 ,0.16,0.2,0.17,
3792,HIP 10711 ,-0.7,-0.44,-0.38,
3793,BD+45 01799 ,-1.23,-0.91,-1.06,
3794,HIP 10718 ,0.1,0.21,0.3,
3795,HIP 43487 ,-0.43,-0.34,-0.35,
3796,HIP 76256 ,-0.18,0.08,-0.05,
3797,2MASS 19414552+4402209 ,-0.12,-0.16,-0.14,
3798,HIP 10723 ,0.18,0.16,0.16,
3799,HIP 76259 ,-0.02,0.17,0.21,
3800,2MASS 19063252+3929190 ,0.04,-0.02,0.01,
3802,HIP 10741 ,-0.1,-0.08,-0.07,
3803,HIP 10743 ,0.09,0.0,0.08,
3805,HIP 109059 ,0.22,0.15,0.23,
3807,2MASS 19134816+4014431 ,-0.15,-0.1,-0.15,
3808,HIP 43531 ,-0.26,-0.11,-0.1,
3810,HIP 109067 ,-0.79,-0.5,-0.54,
3811,HIP 109068 ,0.0,0.24,0.32,
3813,HIP 43543 ,-0.39,-0.28,-0.35,
3814,HIP 76311 ,0.27,0.38,0.53,
3815,2MASS 19205660+5001483 ,0.01,-0.06,-0.02,
3816,HIP 76315 ,0.07,-0.05,0.11,
3817,HIP 76317 ,-0.62,-0.25,-0.43,
3818,HIP 43550 ,-0.32,0.01,-0.21,
3819,HIP 109086 ,0.05,0.05,0.0,
3820,HIP 109090 ,-0.25,-0.27,-0.14,
3821,HIP 43557 ,0.03,0.16,-0.03,
3822,2MASS 19301930+4605506 ,0.14,0.12,0.17,
3823,HIP 43565 ,0.08,0.12,0.07,
3824,HIP 10798 ,-0.43,-0.36,-0.41,
3825,HIP 76333 ,-0.27,-0.1,-0.12,
3827,HIP 43569 ,0.24,0.18,0.09,
3829,HIP 109110 ,0.08,0.06,0.0,
3830,HIP 43580 ,0.06,0.26,0.25,
3831,HIP 76351 ,0.22,0.35,0.28,
3832,HIP 10818 ,-0.02,0.06,0.0,
3833,HIP 43587 ,0.37,0.43,0.38,
3834,2MASS 19032487+3823028 ,0.26,0.22,0.25,
3835,HIP 43595 ,-0.68,-0.55,-0.58,
3836,HIP 76375 ,0.3,0.43,0.37,
3837,HIP 109144 ,-0.06,-0.06,-0.09,
3838,HIP 10842 ,-0.35,-0.11,-0.2,
3839,HIP 109149 ,-0.09,-0.15,-0.1,
3842,2MASS 19091556+3932174 ,-0.18,-0.2,-0.22,
3843,HIP 43625 ,-0.32,-0.22,-0.32,
3844,HIP 76394 ,-0.03,0.07,-0.06,
3845,HIP 109162 ,0.09,0.1,0.09,
3846,HIP 109163 ,-0.23,-0.02,-0.11,
3847,HIP 76398 ,0.16,0.09,0.12,
3848,HIP 109166 ,-0.13,-0.1,-0.13,
3849,HIP 109169 ,0.42,0.28,0.36,
3850,HIP 43634 ,0.36,0.18,0.23,
3851,HIP 10868 ,0.22,0.47,0.24,
3852,2MASS 19025471+3830254 ,0.06,0.02,0.06,
3853,2MASS 19363310+4222138 ,0.12,0.16,0.09,
3854,HIP 109176 ,-0.12,-0.08,-0.18,
3855,HIP 109186 ,-0.08,0.01,-0.1,
3856,2MASS 19242333+3852321 ,-0.06,-0.08,-0.07,
3858,HIP 109190 ,0.34,0.34,0.26,
3859,HIP 76425 ,0.02,0.27,0.2,
3860,HIP 76427 ,0.28,0.14,-0.09,
3862,HIP 43670 ,0.06,0.17,0.03,
3863,HIP 109207 ,0.23,0.24,0.25,
3865,HIP 43674 ,0.29,0.2,0.24,
3866,HIP 10907 ,0.12,0.12,0.19,
3867,HIP 109214 ,-0.1,-0.04,-0.06,
3868,HIP 76450 ,-0.2,-0.09,-0.15,
3869,HIP 43686 ,0.4,0.46,0.35,
3870,2MASS 08103429-1348514 ,0.03,0.08,-0.06,
3871,2MASS 19233232+3803272 ,0.0,0.01,-0.01,
3872,HIP 10925 ,0.07,-0.01,0.02,
3874,HIP 109236 ,0.02,0.13,0.1,
3875,HIP 76470 ,-0.17,0.02,0.13,
3876,HIP 43703 ,-0.4,-0.31,-0.35,
3877,HIP 43706 ,0.02,0.03,-0.01,
3878,HIP 10940 ,-0.13,-0.09,-0.12,
3879,2MASS 19152981-1551047 ,0.04,0.03,0.03,
3880,HIP 43726 ,0.13,0.17,0.12,
3882,HIP 109266 ,-0.36,-0.18,-0.33,
3883,HIP 76509 ,-0.14,0.01,0.02,
3884,HIP 10977 ,-0.13,-0.11,-0.16,
3885,2MASS 19035249+4121488 ,0.17,0.0,0.08,
3886,HIP 109284 ,0.32,0.38,0.31,
3887,HIP 76519 ,-0.19,0.06,0.0,
3888,HIP 10989 ,-0.12,-0.11,-0.1,
3889,HIP 10990 ,0.18,0.05,0.04,
3890,HIP 76530 ,-0.2,-0.04,-0.08,
3891,HIP 76532 ,-0.06,0.26,0.17,
3892,HIP 43766 ,-0.15,0.05,-0.13,
3894,HIP 11000 ,0.04,0.04,0.04,
3896,2MASS 19175659+5056389 ,-0.1,-0.13,-0.18,
3898,HIP 76543 ,-0.44,-0.32,-0.36,
3899,2MASS 18493406+4353216 ,0.26,0.22,0.23,
3900,Gaia DR2 1068982214258617216 ,0.0,0.05,-0.03,
3903,HIP 109324 ,-0.35,-0.33,-0.19,
3906,HIP 11024 ,-0.12,-0.06,-0.13,
3907,HIP 109330 ,-0.4,-0.31,-0.31,
3908,HIP 11028 ,-0.02,0.04,-0.03,
3909,HIP 43797 ,0.13,0.22,0.11,
3910,HIP 76569 ,-0.16,0.01,0.04,
3912,2MASS 19103921+4328172 ,0.15,0.08,0.14,
3913,HIP 11043 ,-0.22,-0.04,-0.08,
3914,HIP 43813 ,-0.07,0.06,0.11,
3917,HIP 109355 ,0.29,0.25,0.25,
3918,HIP 11053 ,0.15,0.32,0.2,
3919,HD 137392b ,0.08,0.17,0.15,
3920,HIP 76593 ,-0.12,-0.04,-0.09,
3921,HIP 76594 ,0.0,0.04,0.0,
3922,HIP 76599 ,-0.34,-0.29,-0.28,
3924,HIP 76603 ,-0.06,-0.02,-0.11,
3925,HIP 76604 ,-0.31,-0.21,-0.29,
3926,HIP 76605 ,-0.46,-0.02,-0.08,
3927,HIP 109372 ,-0.28,-0.24,-0.13,
3928,HIP 11072 ,-0.03,0.06,0.01,
3929,HIP 76609 ,-0.34,-0.26,-0.33,
3930,HIP 109378 ,0.24,0.31,0.25,
3931,HIP 109381 ,0.15,0.08,0.12,
3932,HIP 109384 ,-0.2,0.0,-0.06,
3936,HIP 43852 ,0.11,-0.09,-0.02,
3937,HIP 109387 ,0.19,0.07,-0.04,
3939,2MASS 11060384-5841157 ,0.0,0.16,0.16,
3940,HIP 76626 ,0.04,0.04,0.04,
3941,HIP 76627 ,-1.04,-0.62,-0.76,
3943,HIP 76629 ,-0.1,0.18,0.17,
3945,HIP 109400 ,-0.06,-0.13,-0.2,
3946,2MASS 19402120+4529209 ,-0.12,0.04,-0.1,
3948,HIP 76635 ,0.14,0.12,0.16,
3949,HIP 109404 ,-0.04,0.09,0.07,
3950,BD+00 03088 ,0.08,-0.06,-0.04,
3951,HIP 76641 ,0.36,0.28,0.32,
3953,HIP 11108 ,-0.38,0.03,-0.09,
3954,HIP 76650 ,0.03,0.17,0.03,
3955,HIP 76651 ,-0.06,0.14,0.14,
3956,HIP 109421 ,-0.24,-0.38,-0.43,
3957,HIP 43886 ,-0.25,-0.12,-0.24,
3958,HIP 109422 ,0.13,0.06,0.12,
3959,HIP 109423 ,0.15,0.35,0.19,
3960,HIP 109427 ,-0.32,-0.21,-0.15,
3961,HIP 11125 ,0.06,0.11,0.02,
3963,2MASS 18562343+4748382 ,-0.16,-0.15,-0.14,
3964,HIP 11130 ,0.01,-0.06,-0.18,
3965,HIP 76668 ,-0.26,-0.3,-0.19,
3967,HIP 43903 ,-0.1,-0.1,-0.06,
3968,HIP 43904 ,-0.41,-0.27,-0.38,
3969,HIP 109439 ,-0.2,-0.14,-0.22,
3970,HIP 109445 ,0.18,0.24,0.3,
3971,HIP 109450 ,-0.08,0.06,-0.06,
3972,HIP 43915 ,-0.16,-0.01,-0.12,
3974,HD 145958a ,-0.06,-0.04,-0.06,
3975,HIP 43923 ,-0.02,0.18,0.07,
3976,HIP 109466 ,0.16,0.34,0.38,
3977,HIP 109468 ,-0.16,-0.15,-0.17,
3978,HIP 76703 ,0.38,0.36,0.47,
3979,HIP 76704 ,0.18,0.12,0.07,
3980,HIP 76705 ,-0.13,0.02,0.0,
3981,HIP 76709 ,-0.69,-0.47,-0.5,
3983,HIP 109479 ,-0.17,-0.01,-0.11,
3984,HIP 76713 ,0.05,0.18,0.08,
3985,HIP 76716 ,-0.12,0.17,0.06,
3986,HIP 109488 ,-0.21,-0.08,-0.16,
3988,2MASS 19403931+4357469 ,0.19,0.17,0.13,
3991,HIP 11205 ,-0.02,-0.01,-0.02,
3992,HIP 43973 ,-0.74,-0.46,-0.58,
3993,HD 178989 ,-0.24,-0.06,-0.09,
3994,HIP 76747 ,-0.08,-0.03,-0.08,
3995,HIP 43981 ,-0.39,-0.33,-0.26,
3996,HIP 11218 ,-0.32,-0.23,-0.32,
3999,HIP 76758 ,-0.05,-0.08,-0.06,
4000,HIP 109527 ,0.19,0.11,0.19,
4002,HIP 11237 ,-0.4,-0.33,-0.27,
4004,HIP 109544 ,-0.01,-0.09,-0.21,
4005,BD+37 03464 ,0.25,0.09,0.12,
4009,HIP 109558 ,-1.6,-1.25,-1.34,
4011,HIP 76793 ,0.04,-0.06,-0.01,
4012,HIP 11258 ,0.02,0.09,-0.09,
4013,HIP 109563 ,-0.31,-0.22,-0.3,
4015,HIP 11266 ,0.01,-0.06,-0.17,
4016,HIP 76804 ,0.31,0.45,0.28,
4017,HIP 109572 ,0.14,0.29,0.17,
4018,HIP 109577 ,0.1,0.09,0.11,
4019,HIP 76810 ,-0.07,0.01,0.07,
4021,HIP 109584 ,-0.09,0.15,0.01,
4022,HIP 109585 ,0.2,0.44,0.32,
4023,HIP 44059 ,-0.14,-0.15,0.12,
4024,2MASS 19344207+4117432 ,-0.23,-0.08,-0.13,
4025,HIP 109600 ,-0.03,0.17,-0.1,
4026,2MASS 19530436+4115059 ,-0.12,-0.11,-0.18,
4027,HIP 109608 ,-0.35,-0.26,-0.18,
4028,HIP 11305 ,0.5,0.43,0.46,
4029,HIP 44075 ,-0.86,-0.5,-0.62,
4030,HIP 109612 ,0.11,0.05,0.08,
4031,HIP 11309 ,-0.32,-0.26,-0.26,
4032,HIP 11313 ,-0.12,0.13,0.22,
4033,HIP 44089 ,0.08,0.15,0.05,
4034,HIP 109629 ,-0.51,-0.36,-0.34,
4035,HIP 109631 ,0.04,0.15,0.15,
4036,HIP 44097 ,0.21,0.09,0.16,
4039,2MASS 19344235+4436560 ,0.11,0.02,0.07,
4040,HIP 109646 ,-0.54,-0.44,-0.49,
4041,HIP 109650 ,-0.16,-0.19,-0.25,
4042,HIP 44116 ,-0.43,-0.4,-0.36,
4043,HIP 11349 ,-0.45,-0.27,-0.25,
4044,HIP 109655 ,-0.01,-0.01,-0.03,
4045,BD+48 02882a ,0.06,0.02,0.0,
4046,HIP 11354 ,-0.05,0.11,0.09,
4047,HIP 109659 ,-0.16,-0.04,-0.07,
4048,HIP 44124 ,-1.87,-1.55,-1.58,
4050,HIP 109662 ,-0.04,0.02,-0.03,
4051,HIP 76899 ,-0.12,0.03,-0.1,
4052,HIP 44132 ,-0.48,-0.17,-0.34,
4053,HIP 11367 ,0.05,0.13,0.02,
4054,HIP 44137 ,0.33,0.3,0.33,
4055,HIP 109677 ,-0.16,-0.14,-0.1,
4056,HIP 76911 ,-0.19,0.01,-0.12,
4058,HIP 44154 ,-0.01,0.08,0.05,
4059,HIP 109694 ,-0.23,-0.16,-0.18,
4060,HIP 11396 ,-3.82,0.74,0.46,
4062,HIP 76939 ,-0.13,-0.03,-0.01,
4063,HD 26735b ,-0.01,0.02,0.01,
4064,HIP 109730 ,0.2,0.5,0.42,
4065,HIP 76963 ,-0.26,-0.24,-0.19,
4066,HD 343246 ,0.23,0.21,0.19,
4067,HIP 109733 ,-0.33,-0.22,-0.18,
4068,HIP 11432 ,-0.04,0.06,0.07,
4069,HIP 11433 ,0.08,0.14,0.12,
4070,HIP 76976 ,-2.42,-2.09,-2.13,
4071,HIP 109747 ,-0.07,-0.05,0.02,
4072,HIP 44212 ,-0.28,-0.23,-0.17,
4073,HIP 76982 ,-0.11,-0.07,-0.06,
4074,HIP 76984 ,0.0,0.03,0.04,
4075,HIP 11451 ,-0.18,-0.25,-0.27,
4076,2MASS 19012332+4145429 ,0.03,-0.02,0.0,
4077,HIP 109764 ,-0.14,0.04,-0.05,
4078,HIP 109771 ,-0.58,-0.49,-0.37,
4079,HIP 44246 ,0.04,-0.06,0.03,
4083,HD 88927 ,0.07,0.06,0.21,
4084,HIP 109795 ,-0.09,-0.01,-0.1,
4085,HIP 44262 ,0.06,0.15,0.1,
4086,HIP 11504 ,-0.31,-0.36,-0.53,
4087,HIP 11505 ,0.06,0.1,0.04,
4089,HIP 44279 ,0.33,0.25,0.3,
4090,HIP 77048 ,0.02,0.2,0.24,
4091,HIP 77049 ,-0.02,-0.06,-0.01,
4092,HIP 11514 ,0.17,0.2,0.12,
4093,HIP 109816 ,-0.42,-0.22,-0.37,
4094,HIP 77052 ,0.08,0.11,0.04,
4095,HIP 109821 ,-0.07,0.03,-0.05,
4096,HIP 109822 ,-0.22,0.05,-0.06,
4097,HD 190535 ,-0.23,-0.11,-0.13,
4099,HIP 44291 ,0.37,0.38,0.36,
4102,HIP 77059 ,-0.02,0.12,0.12,
4103,HIP 77062 ,-0.38,-0.26,-0.24,
4104,HD 49017 ,0.07,0.19,0.14,
4105,HD 111484a ,0.12,0.09,0.07,
4106,2MASS 19491743+0440207 ,0.23,0.12,0.2,
4107,HIP 109836 ,0.43,0.21,0.26,
4110,HIP 11548 ,-0.14,-0.09,-0.14,
4111,HIP 77084 ,-0.19,-0.02,-0.13,
4112,HIP 44319 ,0.16,0.18,0.11,
4113,HD 215703 ,-0.63,-0.36,-0.46,
4114,HIP 109857 ,0.14,-0.28,-0.07,
4116,HIP 11565 ,-0.16,-0.23,-0.23,
4117,HIP 77102 ,-0.54,-0.33,-0.32,
4119,HIP 77105 ,-0.47,-0.27,-0.4,
4120,HIP 11572 ,0.1,0.17,0.12,
4121,HIP 11575 ,0.28,0.2,0.29,
4122,HIP 44343 ,-0.23,-0.13,-0.2,
4124,2MASS 19440088+4416392 ,0.17,0.14,0.14,
4125,HIP 44347 ,-0.8,-0.42,-0.46,
4126,HIP 11584 ,-0.04,-0.02,0.07,
4127,HIP 11586 ,-0.41,-0.27,-0.42,
4128,HIP 11595 ,-0.22,0.11,-0.03,
4129,HIP 11596 ,-0.07,-0.09,-0.08,
4130,HIP 44367 ,0.17,0.2,0.32,
4131,HIP 11600 ,0.41,0.39,0.47,
4132,HIP 11603 ,0.08,0.19,0.19,
4133,B-15 03672 ,0.09,0.05,0.11,
4134,HIP 109918 ,-0.11,-0.09,-0.11,
4135,HIP 77152 ,0.13,0.19,0.08,
4136,HIP 109926 ,0.0,0.0,-0.01,
4137,HIP 77159 ,-0.2,-0.42,-0.17,
4138,HIP 77161 ,-0.29,-0.16,-0.18,
4140,HIP 109933 ,-0.28,-0.05,-0.07,
4141,HIP 77176 ,-0.25,-0.17,-0.2,
4144,HIP 44416 ,0.03,0.02,-0.11,
4145,HIP 11651 ,0.17,0.32,0.34,
4146,HIP 44424 ,0.2,0.18,0.15,
4148,HIP 44441 ,-0.24,-0.08,-0.13,
4149,HIP 109980 ,0.03,-0.19,0.2,
4150,BD+46 02726 ,0.04,0.06,0.05,
4151,HIP 44458 ,0.14,0.1,0.04,
4152,HIP 44463 ,0.16,0.19,0.26,
4154,HIP 11698 ,-0.61,-0.13,-0.33,
4155,HIP 110003 ,0.13,0.22,0.26,
4156,HIP 110009 ,0.04,0.28,0.24,
4161,HIP 77257 ,0.02,0.11,0.02,
4162,HIP 110028 ,0.24,0.08,0.21,
4163,2MASS 19483571+4617490 ,0.21,0.2,0.2,
4164,HIP 11728 ,0.09,0.24,0.03,
4165,HIP 11729 ,-1.46,-1.19,-1.21,
4166,HIP 110035 ,-0.14,-0.05,-0.13,
4167,HIP 77272 ,-0.58,-0.28,-0.49,
4168,HIP 77275 ,-0.2,0.04,0.01,
4169,2MASS 19011531+4843309 ,-0.08,-0.19,-0.1,
4170,HIP 77290 ,-0.4,-0.29,-0.29,
4171,HIP 11757 ,-0.14,0.09,-0.01,
4172,HIP 44526 ,0.02,-0.01,-0.01,
4173,HIP 11759 ,-0.12,-0.2,-0.15,
4174,HIP 110062 ,-0.3,-0.24,-0.28,
4175,HIP 110066 ,0.05,0.05,0.03,
4176,2MASS 19151897-1639244 ,0.02,0.04,0.01,
4177,HIP 77301 ,0.42,0.38,0.36,
4178,2MASS 19480677+4812309 ,0.26,0.22,0.24,
4179,HIP 110084 ,-0.23,-0.07,-0.1,
4180,HIP 11783 ,-0.2,-0.21,-0.2,
4183,HIP 110089 ,0.19,0.28,0.24,
4184,HIP 77325 ,-0.01,-0.01,-0.01,
4186,HIP 11791 ,0.06,0.18,0.21,
4188,2MASS 19293325+4213597 ,0.02,-0.1,-0.04,
4189,HIP 110102 ,-0.23,-0.05,-0.23,
4190,HIP 77335 ,-0.22,-0.17,-0.21,
4191,2MASS 19014182+4750046 ,-0.07,0.04,0.01,
4192,HIP 110108 ,-0.38,0.01,-0.15,
4193,HIP 110109 ,-0.2,-0.12,-0.18,
4196,HIP 77348 ,-0.13,-0.12,-0.12,
4197,HIP 77350 ,-0.35,0.04,-0.03,
4199,2MASS 19155629+4003522 ,0.12,0.09,0.08,
4200,HIP 77353 ,-0.62,-0.41,-0.57,
4201,HIP 44586 ,-0.37,-0.5,-0.16,
4202,HIP 77358 ,0.13,0.13,0.11,
4203,HIP 110127 ,-0.3,-0.27,-0.29,
4205,HIP 77362 ,-0.48,-0.35,-0.34,
4206,HD 143160 ,-0.08,0.05,0.04,
4208,2MASS 12443130-0900220 ,-1.22,-0.99,-0.79,
4209,HIP 77372 ,0.11,0.04,0.08,
4211,HIP 110140 ,-1.37,-1.0,-1.12,
4212,2MASS 18472048+4409213 ,0.21,0.14,0.17,
4213,HIP 11840 ,0.03,0.18,0.1,
4216,2MASS 19050833+4446535 ,0.08,0.01,-0.02,
4217,HIP 11852 ,-0.2,-0.26,-0.28,
4218,HIP 110156 ,0.09,0.07,0.05,
4219,2MASS 19531156+4226037 ,0.09,0.07,0.06,
4220,HIP 110161 ,0.28,0.31,0.28,
4221,HIP 11865 ,0.05,0.01,-0.01,
4222,HIP 11866 ,0.04,0.05,0.07,
4224,HIP 77401 ,-0.15,-0.05,-0.06,
4225,HIP 44638 ,0.05,0.07,0.03,
4226,2MASS 16002794-0025237 ,0.38,0.35,0.25,
4227,HIP 77408 ,-0.02,-0.03,-0.01,
4228,HIP 110181 ,-0.38,-0.04,-0.2,
4229,HIP 11881 ,-0.23,-0.27,-0.34,
4230,HIP 110187 ,0.14,0.08,0.11,
4231,HIP 44657 ,0.2,0.22,0.15,
4232,HIP 44668 ,0.27,0.25,0.22,
4234,2MASS 14032900-5250429 ,-1.89,-1.09,-1.3,
4235,HIP 77439 ,-0.66,-0.3,-0.48,
4236,HIP 11906 ,-0.14,-0.1,-0.1,
4238,HIP 77444 ,0.16,0.15,0.2,
4239,HIP 110218 ,-0.1,-0.13,-0.12,
4240,HIP 11915 ,-0.05,-0.03,-0.08,
4241,HIP 11923 ,-0.32,0.0,-0.17,
4242,HIP 11924 ,0.29,0.37,0.3,
4243,2MASS 19063321+3929164 ,-0.02,-0.08,-0.02,
4244,2MASS 19241510+4729052 ,-0.12,-0.13,-0.12,
4245,HIP 11930 ,0.23,0.16,0.51,
4248,HIP 11941 ,0.36,0.56,0.37,
4250,HIP 44713 ,0.12,0.15,0.1,
4251,HIP 77482 ,-0.06,-0.05,-0.04,
4252,HIP 44716 ,-0.87,-0.68,-0.71,
4253,HIP 77484 ,-0.28,-0.16,-0.21,
4255,HIP 11952 ,-1.78,-1.26,-0.5,
4257,HIP 77506 ,-0.15,0.07,0.1,
4258,HIP 77512 ,-0.28,-0.08,-0.08,
4259,HIP 77517 ,0.04,0.24,0.11,
4260,HIP 110291 ,-0.94,-0.57,-0.63,
4261,HIP 44766 ,-0.03,0.0,-0.13,
4262,HIP 77536 ,0.12,0.16,0.14,
4263,HIP 110307 ,-0.22,-0.23,-0.29,
4264,HIP 77547 ,0.12,0.04,0.11,
4265,HIP 110327 ,0.09,0.07,0.07,
4266,2MASS 23095825+1823459 ,-0.11,-0.08,-0.19,
4268,HIP 110341 ,-0.07,-0.04,-0.08,
4269,HD 129715 ,0.19,0.2,0.19,
4270,HIP 77578 ,-0.18,0.0,0.01,
4271,HIP 44811 ,-0.65,-0.28,-0.43,
4272,HIP 44814 ,0.11,0.11,0.09,
4273,HIP 12048 ,0.17,0.2,0.12,
4274,HIP 77584 ,0.02,0.13,-0.05,
4275,HIP 44818 ,0.03,-0.04,0.01,
4276,HIP 44821 ,-0.08,-0.12,-0.15,
4278,HIP 44827 ,-0.41,-0.23,-0.18,
4279,HIP 12065 ,-0.36,-0.1,-0.36,
4281,HIP 77603 ,0.22,0.18,0.25,
4282,HIP 77610 ,-0.38,-0.11,-0.23,
4283,HIP 77617 ,-0.08,0.05,-0.04,
4284,HD 106191 ,-0.25,-0.11,-0.28,
4285,HIP 77622 ,0.38,0.12,0.08,
4286,HIP 110391 ,-0.14,0.12,0.04,
4288,HIP 44858 ,-0.27,-0.28,-0.33,
4289,HIP 44860 ,-0.4,-0.11,-0.21,
4290,HIP 44862 ,-0.27,-0.32,-0.36,
4291,HIP 44864 ,-0.29,-0.12,-0.35,
4293,HIP 77637 ,-0.76,-0.48,-0.58,
4294,HIP 77641 ,0.26,0.16,0.26,
4295,2MASS 19134737+4448060 ,0.11,0.09,0.08,
4296,HIP 12109 ,-0.14,-0.1,-0.15,
4297,HIP 12110 ,0.1,0.04,0.11,
4298,2MASS 19492623+4947511 ,0.16,0.07,-0.06,
4300,HIP 12114 ,-0.12,-0.04,0.04,
4302,HIP 12119 ,0.01,0.04,0.0,
4303,HIP 77655 ,0.14,0.2,0.24,
4304,HIP 44890 ,0.0,0.0,-0.03,
4305,HIP 44892 ,-0.12,-0.01,-0.18,
4306,HIP 12125 ,0.13,-0.08,-0.16,
4308,BD+38 03428b ,0.02,0.03,-0.03,
